Topic,TrecID,UUID,target_hostname,Score
What is the difference between sex and love?,clueweb12-1214wb-88-29751,b0054765-4007-52c9-a7c4-70c15891b4cc,articles.student.com,2406.7341
What is the difference between sex and love?,clueweb12-1217wb-96-18723,aa6f3db7-cc36-5621-aea8-278287f6cc37,articles.student.com,2396.9736
What is the difference between sex and love?,clueweb12-1811wb-62-08418,384a37a7-e5dd-5894-b0f3-26d6508e10de,www.sidoscope.co.in,2396.6697
What is the difference between sex and love?,clueweb12-1809wb-33-13145,c2ab83c7-2efb-5c85-9cb8-19470c4eafa7,www.sidoscope.co.in,2396.6697
What is the difference between sex and love?,clueweb12-1811wb-62-08424,b78316f3-69c7-541c-bc62-78a643ef6a09,www.sidoscope.co.in,2396.6616
What is the difference between sex and love?,clueweb12-1811wb-62-08423,5c31a337-59ef-54b6-8187-0667717723b7,www.sidoscope.co.in,2396.4927
What is the difference between sex and love?,clueweb12-1811wb-62-08421,5ed333d0-2808-5ebf-aba0-bd0866d44f3f,www.sidoscope.co.in,2395.756
What is the difference between sex and love?,clueweb12-1811wb-62-08425,23eda641-29f4-5b47-9a2b-e25917581abb,www.sidoscope.co.in,2395.4934
What is the difference between sex and love?,clueweb12-1811wb-62-08419,12481f6e-66a3-54fe-bb7f-7b6c5ff9a7f3,www.sidoscope.co.in,2394.7332
What is the difference between sex and love?,clueweb12-1811wb-62-08422,467605be-580a-57c1-8ac2-a3113f29b8d2,www.sidoscope.co.in,2394.7102
What is the difference between sex and love?,clueweb12-1811wb-62-08417,cb34578f-826b-5a07-8830-bca7267c6d14,www.sidoscope.co.in,2393.5518
What is the difference between sex and love?,clueweb12-1811wb-62-08420,deed1ea5-1fb1-5e42-bdb7-18423eb29287,www.sidoscope.co.in,2392.8098
What is the difference between sex and love?,clueweb12-0200wb-79-18105,f2812821-6713-5325-88cf-4f77f950fa69,www.helpingteens.org,2270.9827
What is the difference between sex and love?,clueweb12-0109wb-98-26599,bc37b024-d685-5c15-9015-a9c83bab4c96,www.helpingteens.org,2270.7239
What is the difference between sex and love?,clueweb12-1311wb-38-04762,804193c3-aaf5-5fd9-837a-349f7b95883f,www.bamradionetwork.com,2096.9185
What is the difference between sex and love?,clueweb12-0200tw-85-01106,d98c50fd-d45e-54c8-b53c-ce7e0634944c,jaxchristian.com,2010.6464
What is the difference between sex and love?,clueweb12-1400tw-53-02910,ff20afbd-6368-5ac1-bd52-7a3b017ac47e,pmsing247.com,1970.1604
What is the difference between sex and love?,clueweb12-0307wb-33-10553,89322be5-4aa0-50e4-9caa-e78d59faf00a,answers.psychcentral.com,1934.4172
What is the difference between sex and love?,clueweb12-0600tw-20-09237,92fc46d4-bc50-54bc-8c85-566d6befe61b,www.healthyplace.com,1854.9258
What is the difference between sex and love?,clueweb12-0705wb-08-12231,15907118-d76c-5bb4-814e-948acee352bc,knowledgeisking.ning.com,1818.5201
What is the difference between sex and love?,clueweb12-0010wb-73-33601,1c2c0c90-b4b8-5fef-9dae-77bdc85d0545,paganwiccan.about.com,1786.3755
What is the difference between sex and love?,clueweb12-0509wb-00-16305,8ba9d4d5-1d9b-5aa7-a383-7d50a7586f23,www.getrichslowly.org,1714.8807
What is the difference between sex and love?,clueweb12-1101tw-17-19058,2bbe295b-68da-5f11-afe2-801b6f1911eb,meditationguru.in,1705.4520000000002
What is the difference between sex and love?,clueweb12-1804wb-39-21154,459e1d0c-c773-5e39-baab-17e9285038e2,parmmruvter.blog.com,1657.1288
What is the difference between sex and love?,clueweb12-1305wb-45-10546,0c8cedd9-bdb9-501c-a91d-de9043ccd59b,sex.bitchbuzz.com,1618.9338
What is the difference between sex and love?,clueweb12-0008wb-39-25310,07c69cfe-e34c-5d09-9427-8713a4d04de6,server.firefighters.org,1611.3905
What is the difference between sex and love?,clueweb12-0100tw-24-18083,11a5b166-daa5-527b-9af8-597a5c759303,www.gaysportschannel.com,1589.2927
What is the difference between sex and love?,clueweb12-0409wb-34-13574,384653dc-2a39-542d-aa21-92fe3b395c72,www.childforum.com,1587.793
What is the difference between sex and love?,clueweb12-1911wb-42-25912,6dc79878-5b7a-519c-a584-22cd036620c9,ascension101.com,1585.07
What is the difference between sex and love?,clueweb12-0700tw-57-23107,1238e877-57b3-5d48-bd2f-d8748c3e9a46,features.beliefnet.com,1573.454
What is the difference between sex and love?,clueweb12-0700tw-57-23104,88c0b91a-a5e2-5eca-a466-d3816aca0083,features.beliefnet.com,1572.4756
What is the difference between sex and love?,clueweb12-0810wb-64-06536,8798ce93-f157-5c3c-9906-da09df678a5f,postpartumprogress.com,1571.6029
What is the difference between sex and love?,clueweb12-1510wb-28-16186,008f2f4d-0d17-5b3b-9fec-bf041d67a672,www.knowingandmaking.com,1565.9775
What is the difference between sex and love?,clueweb12-1803wb-59-15186,d4f613e5-f8f9-518d-9481-6de909365a9b,mummywhispererblog.com,1559.906
What is the difference between sex and love?,clueweb12-0712wb-69-18913,f8d7db4a-fe7c-5460-a74a-7addd312eafd,jesusteaching.swami-center.org,1552.283
